_CASE_KEY;Variant;Customer_ID;Revenue;Costs;Pizza Type;Pizza Size;Customer Satisfaction;Cost Factor;Weekday;Daytime;Distribution Channel;Customer Location;Customer Type
895;1;175;17;13;Funghi;Medium;3;Chef 2;Sunday;14;Feedera SE;Munich District One;Student
426;1;13;19;10;Salami;Small;3;Chef 2;Sunday;13;Deliver Now Holding;Munich District One;Student
690;1;47;9;16;Calzone;Large;0;Chef 1;Sunday;12;Feedera SE;Munich District One;Teenager
185;1;123;36;56;Calzone;Large;1;Chef 1;Sunday;18;Deliveruu Inc.;Munich District One;Adult
1721;1;269;5;35;Salami;Small;5;Ingredients;Sunday;14;Feedera SE;Munich District One;Student
1742;1;244;16;35;Speciale;Large;2;Chef 2;Sunday;12;Feedera SE;Munich District Three;Student
1074;1;38;10;35;Magherita;Medium;5;Delivery Scooters ;Tuesday;12;Orderly SE;Munich District Three;Student
1955;1;216;10;2;Magherita;Large;2;Chef 1;Sunday;17;Deliver Now Holding;Munich District One;Adult
276;1;257;47;8;Salami;Large;5;Phone Bill;Friday;12;Deliver Now Holding;Munich District One;Student
1188;1;84;6;3;Salami;Small;1;Ingredients;Friday;12;Deliver Now Holding;Munich District One;Teenager
1397;1;42;23;10;Calzone;Medium;3;Chef 2;Sunday;12;BestOrder Inc.;Munich District Three;Student
1269;1;243;34;10;Calzone;Large;1;Delivery Guy 2;Friday;18;Orderly SE;Munich District One;Adult
723;1;245;36;5;Salami;Medium;2;Distribution channel fees;Sunday;18;Feedera SE;Munich District Three;Student
1136;1;267;8;4;Magherita;Small;3;Delivery Scooters ;Tuesday;19;TownExpress Inc. ;Munich District One;Teenager
1945;1;74;11;8;Funghi;Medium;0;Chef 1;Sunday;12;BestOrder Inc.;Munich District One;Teenager
1859;1;109;10;11;Salami;Large;3;Waiter;Saturday;12;Feedera SE;Munich District Two;Student
259;1;216;6;8;Calzone;Medium;0;Waiter;Wednesday;17;Deliveruu Inc.;Munich District Three;Student
915;1;195;6;10;Paprika;Small;1;Delivery Scooters ;Monday;18;BestOrder Inc.;Munich District Four;Student
1915;1;248;47;4;Salami;Small;4;Chef 1;Sunday;21;BestOrder Inc.;Munich District Four;Student
1920;1;36;29;44;Magherita;Medium;3;Phone Bill;Wednesday;18;Deliver Now Holding;Munich District Four;Student
290;1;173;29;5;Magherita;Medium;0;Delivery Guy 1 ;Saturday;12;Deliver Now Holding;Munich District One;Teenager
963;1;34;11;10;Funghi;Large;5;Delivery Guy 2;Saturday;16;Heropizza Lmtd.;Munich District Two;Student
197;1;230;28;7;Magherita;Small;0;Delivery Guy 2;Saturday;16;Deliver Now Holding;Munich District Three;Student
1592;1;235;24;9;Funghi;Small;1;Waiter;Friday;21;Feedera SE;Munich District One;Student
567;1;230;6;33;Salami;Medium;2;Delivery Scooters ;Sunday;14;Deliver Now Holding;Munich District Two;Adult
754;1;38;19;10;Salami;Small;3;Chef 1;Saturday;13;Deliver Now Holding;Munich District Three;Student
512;1;178;6;9;Funghi;Medium;1;Chef 2;Wednesday;11;Deliver Now Holding;Munich District Two;Student
1988;1;78;9;60;Salami;Medium;3;Chef 1;Saturday;12;Deliver Now Holding;Munich District Two;Teenager
1914;1;17;10;7;Paprika;Small;3;Chef 1;Sunday;18;Heropizza Lmtd.;Munich District Two;Student
183;1;226;10;7;Magherita;Small;0;Waiter;Friday;19;Feedera SE;Munich District Three;Adult
584;1;225;36;10;Salami;Medium;4;Chef 1;Tuesday;13;Heropizza Lmtd.;Munich District One;Teenager
950;1;52;10;1;Speciale;Large;2;Chef 2;Sunday;19;TownExpress Inc. ;Munich District One;Student
298;1;204;29;7;Magherita;Small;0;Chef 1;Sunday;13;Deliveruu Inc.;Munich District One;Adult
