CASE_ID;SORTING;EVENTTIME;ACTIVITY_EN;Automation
1;1;15/06/2018 09:37;Order by phone;A
1;2;15/06/2018 09:40;Start preparing pizza;A
1;3;15/06/2018 09:45;Call Customer;A
1;4;15/06/2018 09:46;Start preparing pizza;A
1;5;15/06/2018 09:53;Start baking pizza;B
1;6;15/06/2018 09:54;Baking pizza ready;A
1;7;15/06/2018 09:55;Plan route;B
1;8;15/06/2018 09:56;Departure pizza;A
1;9;15/06/2018 10:02;Pizza arrives at customer;B
1;10;15/06/2018 10:06;Payment customer;A
2;11;27/05/2018 04:22;Order by phone;A
2;12;27/05/2018 04:25;Start preparing pizza;A
2;13;27/05/2018 04:27;Start baking pizza;B
2;14;27/05/2018 04:29;Baking pizza ready;A
2;15;27/05/2018 04:30;Departure pizza;A
2;16;27/05/2018 04:30;Plan route;A
2;17;27/05/2018 04:39;Pizza arrives at customer;A
2;18;27/05/2018 04:40;Payment customer;A
3;19;03/05/2018 18:24;Start order website;A
3;20;03/05/2018 18:34;Approve order website;A
3;21;03/05/2018 18:35;Receive order website;A
3;22;03/05/2018 18:43;Call Customer;A
3;23;03/05/2018 18:49;Start preparing pizza;A
3;24;03/05/2018 18:50;Start baking pizza;A
3;25;03/05/2018 18:51;Baking pizza ready;B
3;26;03/05/2018 18:54;Plan route;B
3;27;03/05/2018 18:54;Departure pizza;A
3;28;03/05/2018 18:56;Pizza arrives at customer;B
3;29;03/05/2018 19:02;Payment customer;B
4;30;12/02/2018 22:52;Order at the counter (shop);A
4;31;12/02/2018 22:53;Start preparing pizza;A
4;32;12/02/2018 22:54;Start baking pizza;A
4;33;12/02/2018 23:02;Baking pizza ready;B
4;34;12/02/2018 23:03;Payment customer;B
5;35;06/02/2018 23:08;Start order website;A
5;36;06/02/2018 23:16;Approve order website;A
5;37;06/02/2018 23:16;Call Customer;B
5;38;06/02/2018 23:16;Receive order website;A
5;39;06/02/2018 23:17;Start preparing pizza;A
5;40;06/02/2018 23:24;Start baking pizza;A
5;41;06/02/2018 23:25;Baking pizza ready;B
5;42;06/02/2018 23:26;Plan route;A
5;43;06/02/2018 23:30;Departure pizza;B
5;44;06/02/2018 23:34;Pizza arrives at customer;A
5;45;07/02/2018 00:02;Payment customer;A
6;46;10/02/2018 16:14;Order at the counter (shop);A
6;47;10/02/2018 16:17;Start preparing pizza;A
6;48;10/02/2018 16:18;Start baking pizza;B
6;49;10/02/2018 16:27;Baking pizza ready;A
6;50;10/02/2018 16:28;Payment customer;A
7;51;10/03/2018 09:13;Order by phone;A
7;52;10/03/2018 09:15;Start preparing pizza;A
7;53;10/03/2018 09:15;Call Customer;A
7;54;10/03/2018 09:21;Start preparing pizza;A
7;55;10/03/2018 09:24;Start baking pizza;A
7;56;10/03/2018 09:26;Baking pizza ready;A
7;57;10/03/2018 09:26;Plan route;A
7;58;10/03/2018 09:30;Departure pizza;A
7;59;10/03/2018 09:34;Pizza arrives at customer;A
7;60;10/03/2018 10:08;Payment customer;A
8;61;24/04/2018 12:13;Order at the counter (shop);A
