,SORTING,EVENTTIME,ACTIVITY_EN,Automation,Customer_Location,Costs,Customer Satisfaction,Cost Factor,Weekday,Daytime,Distribution Channel,Customer Location,Customer Type
0,1,15/06/2018 09:37,Order by phone,A,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,2,15/06/2018 09:40,Start preparing pizza,A,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
2,3,15/06/2018 09:45,Call Customer,A,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3,4,15/06/2018 09:46,Start preparing pizza,A,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4,5,15/06/2018 09:53,Start baking pizza,B,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
5,6,15/06/2018 09:54,Baking pizza ready,A,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6,7,15/06/2018 09:55,Plan route,B,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
7,8,15/06/2018 09:56,Departure pizza,A,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
8,9,15/06/2018 10:02,Pizza arrives at customer,B,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
9,10,15/06/2018 10:06,Payment customer,A,Munich District One,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
10,11,27/05/2018 04:22,Order by phone,A,Munich District Two,43.0,3.0,Waiter,Sunday,18.0,Feedera SE,Munich District One,Adult
11,11,27/05/2018 04:22,Order by phone,A,Munich District Two,3.0,3.0,Delivery Guy 2,Thursday,15.0,Deliver Now Holding,Munich District Three,Student
12,11,27/05/2018 04:22,Order by phone,A,Munich District Two,43.0,4.0,Ingredients,Sunday,18.0,TownExpress Inc. ,Munich District One,Student
13,11,27/05/2018 04:22,Order by phone,A,Munich District Two,16.0,3.0,Waiter,Sunday,19.0,Orderly SE,Munich District One,Student
14,11,27/05/2018 04:22,Order by phone,A,Munich District Two,44.0,5.0,Delivery Scooters ,Monday,18.0,Feedera SE,Munich District One,Teenager
15,11,27/05/2018 04:22,Order by phone,A,Munich District Two,32.0,5.0,Delivery Scooters ,Sunday,21.0,Feedera SE,Munich District One,Student
16,11,27/05/2018 04:22,Order by phone,A,Munich District Two,29.0,1.0,Chef 2,Thursday,18.0,Feedera SE,Munich District Four,Adult
17,11,27/05/2018 04:22,Order by phone,A,Munich District Two,11.0,1.0,Ingredients,Friday,13.0,Deliver Now Holding,Munich District Five,Student
18,11,27/05/2018 04:22,Order by phone,A,Munich District Two,2.0,1.0,Phone Bill,Friday,19.0,BestOrder Inc.,Munich District Five,Student
19,11,27/05/2018 04:22,Order by phone,A,Munich District Two,25.0,0.0,Delivery Guy 1 ,Thursday,20.0,Feedera SE,Munich District Three,Teenager
